87|9.693689|LLMNR(UDP)|Standard query 0xcdaa ANY DESKTOP-LBSUNMF|192.168.1.244:51969|224.0.0.252:5355|75|cdaa000000010000000000000f4445534b544f502d4c4253554e4d460000ff0001
89|9.694519|MDNS(UDP)|Standard query response 0x0000 AAAA fe80::c9e5:4003:650f:3498 A 192.168.1.244|192.168.1.244:5353|224.0.0.251:5353|119|0000840000000002000000000f4445534b544f502d4c4253554e4d46056c6f63616c00001c00010000003c0010fe80000000000000c9e54003650f3498c00c000100010000003c0004c0a801f4
92|10.019343|SSDP(UDP)|M-SEARCH * HTTP/1.1 |192.168.1.244:51974|239.255.255.250:1900|216|4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e3235352e3235303a313930300d0a4d414e3a2022737364703a646973636f766572220d0a4d583a20310d0a53543a2075726e3a6469616c2d6d756c746973637265656e2d6f72673a736572766963653a6469616c3a310d0a555345522d4147454e543a20476f6f676c65204368726f6d652f38312e302e343034342e3132392057696e646f77730d0a0d0a
95|10.283378|DNS(UDP)|Standard query 0xe824 A wpad.attlocal.net|192.168.1.244:51763|192.168.1.254:53|77|e824010000010000000000000477706164086174746c6f63616c036e65740000010001
96|10.292719|DNS(UDP)|Standard query response 0xe824 No such name A wpad.attlocal.net SOA localhost|192.168.1.254:53|192.168.1.244:51763|133|e824858300010000000100000477706164086174746c6f63616c036e65740000010001c0110006000100000e10002c096c6f63616c686f7374000a706f73746d6173746572c02f777369b100000e100000070800093a8000000e10
97|10.293382|MDNS(UDP)|Standard query 0x0000 A wpad.local, "QM" question|192.168.1.244:5353|224.0.0.251:5353|70|0000000000010000000000000477706164056c6f63616c0000010001
100|10.293981|LLMNR(UDP)|Standard query 0x6921 A wpad|192.168.1.244:55803|224.0.0.252:5355|64|69210000000100000000000004777061640000010001
101|10.294235|MDNS(UDP)|Standard query 0x0000 A wpad.local, "QM" question|192.168.1.244:5353|224.0.0.251:5353|70|0000000000010000000000000477706164056c6f63616c0000010001
104|10.294837|LLMNR(UDP)|Standard query 0xdb34 A wpad|192.168.1.244:57573|224.0.0.252:5355|64|db340000000100000000000004777061640000010001
105|10.295093|MDNS(UDP)|Standard query 0x0000 A wpad.local, "QM" question|192.168.1.244:5353|224.0.0.251:5353|70|0000000000010000000000000477706164056c6f63616c0000010001
108|10.295945|LLMNR(UDP)|Standard query 0xadd4 A wpad|192.168.1.244:59679|224.0.0.252:5355|64|add40000000100000000000004777061640000010001
109|10.515701|DNS(UDP)|Standard query 0xc992 A geo.prod.do.dsp.mp.microsoft.com|192.168.1.244:51593|192.168.1.254:53|92|c992010000010000000000000367656f0470726f6402646f03647370026d70096d6963726f736f667403636f6d0000010001
110|10.524616|DNS(UDP)|Standard query response 0xc992 A geo.prod.do.dsp.mp.microsoft.com CNAME geo-prod.do.dsp.mp.microsoft.com CNAME geo-prod.dodsp.mp.microsoft.com.nsatc.net CNAME array805-prod.do.dsp.mp.microsoft.com A 13.78.180.90|192.168.1.254:53|192.168.1.244:51593|214|c992818000010004000000000367656f0470726f6402646f03647370026d70096d6963726f736f667403636f6d0000010001c00c000500010000075b000b0867656f2d70726f64c015c03e0005000100000763002b0867656f2d70726f6405646f647370026d70096d6963726f736f667403636f6d056e73617463036e657400c055000500010000003e00100d61727261793830352d70726f64c015c08c0001000100000d2200040d4eb45a
111|10.525898|TCP(TCP)|57891 \xe2\x86\x92 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1|192.168.1.244:57891|13.78.180.90:443|66|
112|10.558184|TCP(TCP)|443 \xe2\x86\x92 57891 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1440 WS=256 SACK_PERM=1|13.78.180.90:443|192.168.1.244:57891|66|
113|10.558334|TCP(TCP)|57891 \xe2\x86\x92 443 [ACK] Seq=1 Ack=1 Win=132352 Len=0|192.168.1.244:57891|13.78.180.90:443|54|
114|10.561012|TLSv1.2(TCP)|Client Hello|192.168.1.244:57891|13.78.180.90:443|265|16030300ce010000ca03035eb0dd1770510824dcf58755642dc9cbd317f6afd3bc1af2c56490bfe8b1e00a000026c02cc02bc030c02fc024c023c028c027c00ac009c014c013009d009c003d003c0035002f000a0100007b00000025002300002067656f2e70726f642e646f2e6473702e6d702e6d6963726f736f66742e636f6d000500050100000000000a00080006001d00170018000b00020100000d00140012040105010201040305030203020206010603002300000010000e000c02683208687474702f312e3100170000ff01000100
